"yr" "seas" "gender" "growpattern" "birthseas" "fleet" "age0" "age1" "age2" "age3" "age4" "age5" "age6" "age7" "age8" "age9" "age10" "age11" "age12" "age13" "age14" "age15" "age16" "age17" "age18" "age19" "age20" "age21" "age22" "age23" "age24" "age25"
"2" 2 1 1 1 1 1 0.0311902 0.265753644764597 1.19295036007915 2.72382877139866 4.68635237275371 6.87509156386839 9.12874443509787 11.3222347517761 13.4304738166668 15.2403700080294 16.6771486772065 18.0614028787881 19.3368003732231 20.3774831071079 21.6239520868634 21.6289469347075 22.7594968347326 23.142389279966 23.1290466399502 23.7674539103207 24.3977210339355 24.5895393423349 24.6916905822004 23.88114713851 24.947674552128 25.1739107857676
"3" 3 1 1 1 1 1 0.0311902 0.273412919727957 1.190369724438 2.73264067696953 4.68162065083284 6.97110279571693 9.13075976444813 11.2961927296413 13.3486660917942 15.2066994522528 16.7896758365155 18.2344172272959 19.4460426855238 20.7675063887242 21.4066033681011 22.3062787589954 22.8891594319368 22.5635972993274 23.8806336485195 24.0234732393959 NA NA NA 25.0017237823506 NA 25.4201675107779
"4" 4 1 1 1 1 1 0.0311902 0.27711357437562 1.18619796986666 2.72605258820945 4.6914355951745 6.90474930558943 9.16243753885553 11.2939530271974 13.4181983279022 15.1802481218799 16.7243503348011 18.2432488759748 19.3234827268447 20.3629573599425 22.0892520217151 21.6772960681885 22.6164370606464 23.9640533466675 23.7985752035287 24.0262895394929 23.9743482019986 25.6076651633108 24.9802452237882 24.9038896732418 25.7678655824277 25.1204222897533
"5" 5 1 1 1 1 1 0.0311902 0.238292376006568 1.19086198486733 2.7129053926637 4.6784749437483 6.92133145982351 9.15530451757397 11.2948209628473 13.3618607115633 15.3364345972318 16.910669235847 18.1021950623029 19.3150900255665 20.3938519240712 21.4026840789116 22.1759624935581 22.9047702592687 23.381869516187 23.6737486008587 23.9153616386628 23.933469584495 23.7453011043797 24.9557772205179 NA NA 24.4631758170084
"6" 6 1 1 1 1 1 0.0311902 0.265850741384809 1.18653853971802 2.73165880566776 4.67140044332274 6.85800451753543 9.09257649607998 11.2408200494006 13.4653857753292 15.1626697470234 16.6653133586522 18.4226081649472 19.5980870334938 20.4837298250362 21.728561771141 22.0900032167606 23.1522100284708 22.8782330208063 23.6962949322058 23.484696244576 24.7157252906872 26.1795904323003 24.6482301871827 26.2173451973934 26.427031922663 24.9947926293718
"7" 7 1 1 1 1 1 0.0311902 0.269319033102608 1.18367527436255 2.74150214992224 4.70814751159383 6.92151761681412 9.15230615583826 11.3821143754938 13.2895883882565 15.274402997643 16.87811434344 18.3228267382514 19.2399010153106 20.3476037811367 21.5327822655358 22.0080748592093 22.7619046466367 23.2674184210232 23.654625397825 24.4993912631641 23.7301997111462 24.5928353054097 NA 24.7519370762644 NA 24.9763200762634
"8" 8 1 1 1 1 1 0.0311902 0.269996484453891 1.18546330529919 2.73611324971714 4.72502794162384 6.92685050882985 9.19087220403757 11.2965514323764 13.3499648110309 15.1205360234622 16.9609354328335 18.4118093389519 19.334992361386 20.5104852849832 21.2530878998489 22.2591632156747 22.5931994240752 23.4238804716334 23.6733135028728 24.8752931731404 24.607078334953 24.7037766914262 24.6957346203219 NA NA 25.6068668875702
"9" 9 1 1 1 1 1 0.0311902 0.264412187356328 1.17926843497563 2.75094336836667 4.70540045303923 6.86976826037202 9.1324665982824 11.3292294805424 13.3386658648277 15.2468027700677 16.7480837420745 18.170088427678 19.3942643209572 20.284701170495 21.1502346023325 22.0575876201038 22.7115326777807 23.2959506356836 23.8521518014482 23.8427450877477 24.2367304596919 24.6908530185563 25.5890707400579 NA 24.3731096390874 25.2191942183158
"10" 10 1 1 1 1 1 0.0311902 0.266095160981766 1.19651776744719 2.7324390758835 4.71392239305243 6.88347965753676 9.06576111614632 11.3802011626017 13.3838091249409 15.313858033591 16.8888532150221 18.2647367788275 19.225016458974 20.5302508355374 20.996988015794 22.1434090842913 22.6532071351992 23.0259199899333 23.5460715652678 25.1274719643038 24.118200253166 NA 24.6150227249991 24.4043588617194 NA 25.6089906817007
"11" 11 1 1 1 1 1 0.0311902 0.270622819435413 1.18316429467601 2.73806076727951 4.64000883700692 6.92014162301094 9.11721386850083 11.4818538213116 13.3020778963554 15.2234842486152 16.7391642406875 18.3309625967764 19.4797544172933 20.2902393924794 21.1335647225336 22.1104863991133 22.2814704867146 23.3114468968195 23.5976673567218 23.7836054456149 NA 23.7763313181157 24.8720463398609 25.0151234659998 24.9825777874381 25.3932494807038
"12" 12 1 1 1 1 1 0.0311902 0.269400440343064 1.18638307730443 2.71031504496227 4.7038284034498 6.8994808489721 9.0602195651741 11.3682699259504 12.8517522000916 15.394987805022 16.7426710614997 18.4335390034145 19.4293478480196 20.5033083561473 21.4522881407028 22.0455155012238 22.7860816903152 23.0360256872172 23.7022253138785 24.0723794967177 24.1926345670812 24.8044078427721 24.7119810280197 25.6618571933367 24.6870527738528 24.9229876776332
