"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","L_at_Amax_Fem_GP_1_ENV_add_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","params_stuck_low_em","params_stuck_high_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","F","G","X","species","max_grad","version","RunTime","hessian","E","ID"
"1",215129000,32.052,580652000,0.356618077609308,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,37.8862,328882,1.29371e-07,0,-178.211,NA,NA,NA,11365,317635,NA,NA,NA,NA,59.5782,0,0,0,0,0,216708000,30.7977,588514000,0.370711656817,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.61345,0.44,0.5,0,0,0,0,0,0.00561879,0,21.285,-1,4.08616,15,-999,999,18.1646,-1,4.05916,15,-999,999,37.8862,5251400,5.71753e-09,0,5246540,NA,NA,NA,4870.29,NA,NA,NA,NA,NA,-9.12624,0,0,0.000901071,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",2.55599e-05,"#V3.24O",3.21666666666667,FALSE,NA,"D1-F0-G0-X1-yellow-age-7"
"2",215129000,32.052,580652000,0.383236430770926,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,40.0336,329193,1.17561e-07,0,-178.211,NA,NA,NA,11704.8,317618,NA,NA,NA,NA,47.5327,0,0,0,0,0,226338000,32.4621,608698000,0.390720850076721,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.64717,0.44,0.5,0,0,0,0,0,0.00264966,0,21.2172,-1,4.08737,15,-999,999,18.2236,-1,4.06862,15,-999,999,40.0336,5293080,4.74924e-09,0,5288310,NA,NA,NA,4790.94,NA,NA,NA,NA,NA,-17.4539,0,0,0.000899047,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",8,"D1","F0","G0","X1","yellow-age",2.17103,"#V3.24O",3.2,FALSE,NA,"D1-F0-G0-X1-yellow-age-8"
"3",215129000,32.052,580652000,0.361469520470092,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,37.0324,329075,8.89753e-08,0,-178.211,NA,NA,NA,11572.5,317630,NA,NA,NA,NA,50.5648,0,0,0,0,0,221985000,31.9,600857000,0.376620393870755,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.63421,0.44,0.5,0,0,0,0,0,-0.00175147,0,21.3161,-1,4.10444,15,-999,999,18.3157,-1,4.07247,15,-999,999,37.0324,5291040,4.68419e-09,0,5286180,NA,NA,NA,4866.3,NA,NA,NA,NA,NA,-15.1146,0,0,0.000894165,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",9,"D1","F0","G0","X1","yellow-age",2.02767e-05,"#V3.24O",3.18333333333333,FALSE,NA,"D1-F0-G0-X1-yellow-age-9"
"4",215129000,32.052,580652000,0.28928859282324,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,29.7586,328676,1.2105e-07,0,-178.211,NA,NA,NA,11190.2,317607,NA,NA,NA,NA,56.2611,0,0,0,0,0,214556000,30.0769,577678000,0.323967677495075,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.59486,0.44,0.5,0,0,0,0,0,-0.00920024,0,21.2004,-1,4.07058,15,-999,999,18.2315,-1,4.06131,15,-999,999,29.7586,5238340,5.68978e-09,0,5233530,NA,NA,NA,4826.05,NA,NA,NA,NA,NA,-14.3073,0,0,0.00090352,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",10,"D1","F0","G0","X1","yellow-age",9.73307,"#V3.24O",3.15,FALSE,NA,"D1-F0-G0-X1-yellow-age-10"
"5",215129000,32.052,580652000,0.340944317766924,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,35.3812,328948,1.22703e-07,0,-178.211,NA,NA,NA,11459.4,317622,NA,NA,NA,NA,44.1245,0,0,0,0,0,219403000,31.4382,591589000,0.341623999093966,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.61866,0.44,0.5,0,0,0,0,0,0.0113481,0,21.1928,-1,4.0802,15,-999,999,18.2123,-1,4.06852,15,-999,999,35.3812,5280510,5.10634e-09,0,5275710,NA,NA,NA,4821.66,NA,NA,NA,NA,NA,-24.8147,0,0,0.000900582,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",11,"D1","F0","G0","X1","yellow-age",8.27473e-06,"#V3.24O",3.2,FALSE,NA,"D1-F0-G0-X1-yellow-age-11"
"6",215129000,32.052,580652000,0.42238208083327,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,44.5323,329417,1.24743e-07,0,-178.211,NA,NA,NA,11897.8,317639,NA,NA,NA,NA,58.566,0,0,0,0,0,232133000,33.3009,626350000,0.400601899896224,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.67576,0.44,0.5,0,0,0,0,0,-0.00024205,0,21.1786,-1,4.07928,15,-999,999,18.2687,-1,4.08169,15,-999,999,44.5323,5313130,4.25749e-09,0,5308290,NA,NA,NA,4851.4,NA,NA,NA,NA,NA,-7.22268,0,0,0.000898043,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",12,"D1","F0","G0","X1","yellow-age",1.75909e-05,"#V3.24O",3.16666666666667,FALSE,NA,"D1-F0-G0-X1-yellow-age-12"
"7",215129000,32.052,580652000,0.382719770189373,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,39.7159,328961,1.57289e-07,0,-178.211,NA,NA,NA,11487.3,317605,NA,NA,NA,NA,46.3292,0,0,0,0,0,235869000,33.8743,638275000,0.350928674944186,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.69462,0.44,0.5,0,0,0,0,0,0.0307982,0,21.1609,-1,4.0804,15,-999,999,18.4136,-1,4.09315,15,-999,999,39.7159,5347740,3.97861e-09,0,5343010,NA,NA,NA,4739.68,NA,NA,NA,NA,NA,-11.1605,0,0,0.00089501,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",13,"D1","F0","G0","X1","yellow-age",1.20011,"#V3.24O",3.18333333333333,FALSE,NA,"D1-F0-G0-X1-yellow-age-13"
"8",215129000,32.052,580652000,0.397537595668318,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,41.4079,328984,9.6725e-08,0,-178.211,NA,NA,NA,11509.2,317615,NA,NA,NA,NA,37.6939,0,0,0,0,0,236667000,33.1313,639064000,0.386483982824881,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.69585,0.44,0.5,0,0,0,0,0,-0.0196882,0,21.0673,-1,4.07033,15,-999,999,18.3684,-1,4.10639,15,-999,999,41.4079,5338540,3.74573e-09,0,5333650,NA,NA,NA,4904.57,NA,NA,NA,NA,NA,-22.0002,0,0,0.000895219,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G0-X1-yellow-age",14,"D1","F0","G0","X1","yellow-age",0.00932723,"#V3.24O",3.21666666666667,FALSE,NA,"D1-F0-G0-X1-yellow-age-14"
"9",222908000,0,580652000,0.196696127801161,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,23.9489,354286,25339,0,-73.351,NA,NA,NA,11551.2,317410,NA,NA,NA,NA,59.5782,0,0,0,0,0,226982000,0,591264000,0.205995967960167,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.61811,0.44,0.5,0,0,0,0,0,-0.00184228,0,21.1606,-1,4.06255,15,-999,999,18.247,-1,4.0809,15,-999,999,23.9489,5231890,8.44286e-09,0,5226950,NA,NA,NA,4950.35,NA,NA,NA,NA,NA,-9.74141,0,0,0.000901506,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-yellow-age",7,"D1","F0","G1","X1","yellow-age",0.00122683,"#V3.24O",3.23333333333333,FALSE,NA,"D1-F0-G1-X1-yellow-age-7"
"10",222782000,0,580652000,0.213470374682254,0,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,25.7055,354683,25373.4,0,-73.5906,NA,NA,NA,11942.3,317393,NA,NA,NA,NA,47.5327,0,0,0,0,0,234736000,0,611806000,0.215140093428309,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.65226,0.44,0.5,0,0,0,0,0,-0.00833098,0,21.1073,-1,4.06892,15,-999,999,18.1501,-1,4.05925,15,-999,999,25.7055,5274320,6.51038e-09,0,5269520,NA,NA,NA,4809.93,NA,NA,NA,NA,NA,-17.1361,0,0,0.00090526,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G1-X1-yellow-age",8,"D1","F0","G1","X1","yellow-age",0.00121191,"#V3.24O",3.25,FALSE,NA,"D1-F0-G1-X1-yellow-age-8"
