"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","L_at_Amax_Fem_GP_1_ENV_add_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","params_stuck_low_em","params_stuck_high_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","F","G","X","species","max_grad","version","RunTime","hessian","E","ID"
"1",215129000,32.052,580652000,0.323360635974732,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,33.2495,329061,1.43431e-07,0,-178.211,NA,NA,NA,11547.5,317628,NA,NA,NA,NA,63.206,0,0,0,0,0,204744000,29.2803,553032000,0.361049631847705,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.55126,0.44,0.5,0,0,0,0,0,0.00763084,0,21.3557,-1,4.09418,15,-999,999,18.1592,-1,4.05477,15,-999,999,33.2495,5239170,5.96138e-09,0,5234550,NA,NA,NA,4620.65,NA,NA,NA,NA,NA,-8.99163,0,0,0.000900125,0,0,NA,NA,NA,NA,NA,NA,NA,"D2-F0-G0-X2-yellow-age",1,"D2","F0","G0","X2","yellow-age",0.205302,"#V3.24O",2.53333333333333,FALSE,NA,"D2-F0-G0-X2-yellow-age-1"
"2",215129000,32.052,580652000,0.33927205968463,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,35.1278,329018,1.1899e-07,0,-178.211,NA,NA,NA,11509.2,317632,NA,NA,NA,NA,54.9667,0,0,0,0,0,222250000,31.5841,600188000,0.340749898365179,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.63309,0.44,0.5,0,0,0,0,0,0.00562655,0,21.3795,-1,4.0995,15,-999,999,18.1043,-1,4.0477,15,-999,999,35.1278,5300910,4.90327e-09,0,5296300,NA,NA,NA,4622.44,NA,NA,NA,NA,NA,-12.3498,0,0,0.000900748,0,0,NA,NA,NA,NA,NA,NA,NA,"D2-F0-G0-X2-yellow-age",2,"D2","F0","G0","X2","yellow-age",7.7692e-05,"#V3.24O",2.61666666666667,FALSE,NA,"D2-F0-G0-X2-yellow-age-2"
"3",215129000,32.052,580652000,0.330847047801437,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,33.8824,329215,9.43225e-08,0,-178.211,NA,NA,NA,11679,317657,NA,NA,NA,NA,57.1369,0,0,0,0,0,221516000,31.4834,599914000,0.332392642945489,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.63264,0.44,0.5,0,0,0,0,0,0.022759,0,21.2391,-1,4.09113,15,-999,999,18.596,-1,4.12095,15,-999,999,33.8824,5324700,4.45617e-09,0,5320090,NA,NA,NA,4620.7,NA,NA,NA,NA,NA,-10.4222,0,0,0.000886736,0,0,NA,NA,NA,NA,NA,NA,NA,"D2-F0-G0-X2-yellow-age",3,"D2","F0","G0","X2","yellow-age",3.11755e-06,"#V3.24O",2.61666666666667,FALSE,NA,"D2-F0-G0-X2-yellow-age-3"
"4",215129000,32.052,580652000,0.361748517184131,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,37.2381,329217,1.14138e-07,0,-178.211,NA,NA,NA,11709.7,317632,NA,NA,NA,NA,53.3458,0,0,0,0,0,225423000,32.1678,609327000,0.375254994444691,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.6482,0.44,0.5,0,0,0,0,0,-0.0249596,0,21.1366,-1,4.06738,15,-999,999,18.3227,-1,4.07851,15,-999,999,37.2381,5323400,4.17201e-09,0,5318790,NA,NA,NA,4630.9,NA,NA,NA,NA,NA,-15.886,0,0,0.000900725,0,0,NA,NA,NA,NA,NA,NA,NA,"D2-F0-G0-X2-yellow-age",4,"D2","F0","G0","X2","yellow-age",2.90035e-06,"#V3.24O",2.63333333333333,FALSE,NA,"D2-F0-G0-X2-yellow-age-4"
"5",215129000,32.052,580652000,0.329329787893609,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,33.9855,328919,1.15953e-07,0,-178.211,NA,NA,NA,11412.4,317632,NA,NA,NA,NA,53.4033,0,0,0,0,0,219331000,31.4591,593010000,0.334596381174011,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.62106,0.44,0.5,0,0,0,0,0,0.0066268,0,21.2026,-1,4.07734,15,-999,999,18.3486,-1,4.08989,15,-999,999,33.9855,5299410,4.80491e-09,0,5294700,NA,NA,NA,4732.02,NA,NA,NA,NA,NA,-16.2404,0,0,0.000896298,0,0,NA,NA,NA,NA,NA,NA,NA,"D2-F0-G0-X2-yellow-age",5,"D2","F0","G0","X2","yellow-age",0.373607,"#V3.24O",2.56666666666667,FALSE,NA,"D2-F0-G0-X2-yellow-age-5"
"6",215129000,32.052,580652000,0.356816130832237,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,36.8103,328968,9.35868e-08,0,-178.211,NA,NA,NA,11488.6,317614,NA,NA,NA,NA,43.6296,0,0,0,0,0,228566000,32.8267,614313000,0.356928796883673,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.65635,0.44,0.5,0,0,0,0,0,-0.0128436,0,21.2644,-1,4.10652,15,-999,999,18.346,-1,4.09385,15,-999,999,36.8103,5313050,4.22364e-09,0,5308420,NA,NA,NA,4645.88,NA,NA,NA,NA,NA,-22.975,0,0,0.000889933,0,0,NA,NA,NA,NA,NA,NA,NA,"D2-F0-G0-X2-yellow-age",6,"D2","F0","G0","X2","yellow-age",4.03136e-05,"#V3.24O",2.56666666666667,FALSE,NA,"D2-F0-G0-X2-yellow-age-6"
"7",215129000,32.052,580652000,0.356618077609308,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,37.8862,328882,1.29371e-07,0,-178.211,NA,NA,NA,11365,317635,NA,NA,NA,NA,59.5782,0,0,0,0,0,218113000,30.7202,589885000,0.371360519423277,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.61578,0.44,0.5,0,0,0,0,0,-0.00337273,0,21.2764,-1,4.08762,15,-999,999,18.1782,-1,4.06647,15,-999,999,37.8862,5251280,5.61444e-09,0,5246540,NA,NA,NA,4754.27,NA,NA,NA,NA,NA,-11.6606,0,0,0.000899401,0,0,NA,NA,NA,NA,NA,NA,NA,"D2-F0-G0-X2-yellow-age",7,"D2","F0","G0","X2","yellow-age",1.38404e-05,"#V3.24O",2.56666666666667,FALSE,NA,"D2-F0-G0-X2-yellow-age-7"
"8",215129000,32.052,580652000,0.383236430770926,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,40.0336,329193,1.17561e-07,0,-178.211,NA,NA,NA,11704.8,317618,NA,NA,NA,NA,47.5327,0,0,0,0,0,226602000,32.3421,609471000,0.392164680518023,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.64844,0.44,0.5,0,0,0,0,0,-0.0147805,0,21.1414,-1,4.08137,15,-999,999,18.2974,-1,4.08623,15,-999,999,40.0336,5292990,4.56227e-09,0,5288310,NA,NA,NA,4705.61,NA,NA,NA,NA,NA,-21.9538,0,0,0.000896855,0,0,NA,NA,NA,NA,NA,NA,NA,"D2-F0-G0-X2-yellow-age",8,"D2","F0","G0","X2","yellow-age",2.94545e-05,"#V3.24O",2.6,FALSE,NA,"D2-F0-G0-X2-yellow-age-8"
"9",215129000,32.052,580652000,0.361469520470092,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,37.0324,329075,8.89753e-08,0,-178.211,NA,NA,NA,11572.5,317630,NA,NA,NA,NA,50.5648,0,0,0,0,0,219606000,31.309,596902000,0.372610579291073,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.6276,0.44,0.5,0,0,0,0,0,0.016894,0,21.2356,-1,4.08924,15,-999,999,18.6357,-1,4.12918,15,-999,999,37.0324,5290800,4.79663e-09,0,5286180,NA,NA,NA,4638.43,NA,NA,NA,NA,NA,-17.5467,0,0,0.000885457,0,0,NA,NA,NA,NA,NA,NA,NA,"D2-F0-G0-X2-yellow-age",9,"D2","F0","G0","X2","yellow-age",2.54545e-06,"#V3.24O",2.66666666666667,FALSE,NA,"D2-F0-G0-X2-yellow-age-9"
"10",215129000,32.052,580652000,0.28928859282324,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,1,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,29.7586,328676,1.2105e-07,0,-178.211,NA,NA,NA,11190.2,317607,NA,NA,NA,NA,56.2611,0,0,0,0,0,211276000,30.1146,570731000,0.32074479921364,0,NA,NA,0.08,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.58277,0.44,0.5,0,0,0,0,0,0.0118497,0,21.1872,-1,4.06949,15,-999,999,18.5838,-1,4.10153,15,-999,999,29.7586,5238150,5.93153e-09,0,5233530,NA,NA,NA,4642.38,NA,NA,NA,NA,NA,-15.4206,0,0,0.00089456,0,0,NA,NA,NA,NA,NA,NA,NA,"D2-F0-G0-X2-yellow-age",10,"D2","F0","G0","X2","yellow-age",5.43353e-07,"#V3.24O",2.55,FALSE,NA,"D2-F0-G0-X2-yellow-age-10"
