"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","D","F","G","X","species","year","E","ID"
"1",580652000,243.225,0,588514000,244.852,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",1,NA,"D1-F0-G0-X1-yellow-age-7"
"2",580651000,192.691,0,588513000,217.661,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",2,NA,"D1-F0-G0-X1-yellow-age-7"
"3",580650000,411.606,0,588512000,413.929,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",3,NA,"D1-F0-G0-X1-yellow-age-7"
"4",580649000,153.667,0,588511000,172.157,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",4,NA,"D1-F0-G0-X1-yellow-age-7"
"5",580644000,178.8,0,588508000,180.588,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",5,NA,"D1-F0-G0-X1-yellow-age-7"
"6",580636000,286.521,0,588501000,292.622,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",6,NA,"D1-F0-G0-X1-yellow-age-7"
"7",580622000,467.73,0,588491000,512.305,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",7,NA,"D1-F0-G0-X1-yellow-age-7"
"8",580600000,145.997,0,588475000,151.547,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",8,NA,"D1-F0-G0-X1-yellow-age-7"
"9",580558000,127.438,0,588444000,140.265,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",9,NA,"D1-F0-G0-X1-yellow-age-7"
"10",580486000,309.157,0,588392000,335.272,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",10,NA,"D1-F0-G0-X1-yellow-age-7"
"11",580370000,165.887,0,588309000,180.525,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",11,NA,"D1-F0-G0-X1-yellow-age-7"
"12",580186000,402.458,0,588180000,420.2,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",12,NA,"D1-F0-G0-X1-yellow-age-7"
"13",579908000,142.358,0,587991000,138.23,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",13,NA,"D1-F0-G0-X1-yellow-age-7"
"14",579509000,325.762,0,587730000,326.914,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",14,NA,"D1-F0-G0-X1-yellow-age-7"
"15",578977000,193.979,0,587398000,197.632,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",15,NA,"D1-F0-G0-X1-yellow-age-7"
"16",578309000,192.889,0,587008000,206.41,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",16,NA,"D1-F0-G0-X1-yellow-age-7"
"17",577521000,194.855,0,586582000,206.444,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",17,NA,"D1-F0-G0-X1-yellow-age-7"
"18",576634000,268.738,0,586142000,266.875,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",18,NA,"D1-F0-G0-X1-yellow-age-7"
"19",575676000,493.833,0,585713000,511.287,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",19,NA,"D1-F0-G0-X1-yellow-age-7"
"20",574673000,106.579,0,585320000,118.545,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",20,NA,"D1-F0-G0-X1-yellow-age-7"
"21",573615000,170.276,0,584949000,181.061,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",21,NA,"D1-F0-G0-X1-yellow-age-7"
"22",572453000,230.386,0,584531000,236.691,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",22,NA,"D1-F0-G0-X1-yellow-age-7"
"23",571121000,610.682,0,583975000,637.269,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",23,NA,"D1-F0-G0-X1-yellow-age-7"
"24",569614000,217.961,0,583240000,234.905,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",24,NA,"D1-F0-G0-X1-yellow-age-7"
"25",567988000,187.74,0,582342000,197.083,0,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",25,NA,"D1-F0-G0-X1-yellow-age-7"
"26",566324000,182.068,0.04208,581329000,198.482,0.0430665,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",26,NA,"D1-F0-G0-X1-yellow-age-7"
"27",542958000,56.4564,0.04208,557470000,61.7005,0.0430663,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",27,NA,"D1-F0-G0-X1-yellow-age-7"
"28",520997000,155.826,0.04208,534953000,168.851,0.0433667,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",28,NA,"D1-F0-G0-X1-yellow-age-7"
"29",500417000,374.617,0.04208,513637000,390.499,0.043503,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",29,NA,"D1-F0-G0-X1-yellow-age-7"
"30",481227000,443.963,0.04208,493665000,474.364,0.0434636,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",30,NA,"D1-F0-G0-X1-yellow-age-7"
"31",463477000,392.329,0.04208,475207000,415.157,0.0424598,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",31,NA,"D1-F0-G0-X1-yellow-age-7"
"32",447238000,300.946,0.04208,458761000,310.028,0.0431407,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",32,NA,"D1-F0-G0-X1-yellow-age-7"
"33",432527000,217.919,0.04208,443619000,228.66,0.0432336,"D1-F0-G0-X1-yellow-age",7,"D1","F0","G0","X1","yellow-age",33,NA,"D1-F0-G0-X1-yellow-age-7"
