"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","D","F","G","X","species","year","ID"
"1",580652000,322.057,0,566919000,326.71,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",1,"D1-F0-G0-X1-yellow-age-1"
"2",580653000,371.916,0,566920000,389.134,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",2,"D1-F0-G0-X1-yellow-age-1"
"3",580656000,197.899,0,566924000,215.918,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",3,"D1-F0-G0-X1-yellow-age-1"
"4",580659000,38.9278,0,566928000,53.014,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",4,"D1-F0-G0-X1-yellow-age-1"
"5",580662000,285.228,0,566934000,294.634,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",5,"D1-F0-G0-X1-yellow-age-1"
"6",580669000,85.2664,0,566947000,94.4617,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",6,"D1-F0-G0-X1-yellow-age-1"
"7",580678000,125.949,0,566966000,127.106,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",7,"D1-F0-G0-X1-yellow-age-1"
"8",580693000,212.166,0,566999000,213.324,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",8,"D1-F0-G0-X1-yellow-age-1"
"9",580716000,287.657,0,567053000,309.225,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",9,"D1-F0-G0-X1-yellow-age-1"
"10",580749000,364.173,0,567140000,388.91,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",10,"D1-F0-G0-X1-yellow-age-1"
"11",580790000,151.182,0,567273000,163.809,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",11,"D1-F0-G0-X1-yellow-age-1"
"12",580825000,86.0332,0,567457000,85.6733,0,"D1-F0-G0-X1-yellow-age",1,"D1","F0","G0","X1","yellow-age",12,"D1-F0-G0-X1-yellow-age-1"
