"SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50%_Fem_om","Mat_slope_Fem_om","Eggs/kg_inter_Fem_om","Eggs/kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50%_Fem_em","Mat_slope_Fem_em","Eggs/kg_inter_Fem_em","Eggs/kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","F","D","E","R","X","species","max_grad","version","RunTime","hessian"
1.408e+09,170594000,4082630000,0.454168024043325,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,128595000,11805.8,9.16238e-07,0,-252.573,NA,NA,0.0782981,212.242,11784.7,NA,NA,NA,NA,61.1375,0,0,0,0,0,1389590000,153784000,3903220000,0.524841028689134,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6036,0.65,0.4,0,0,0,0,0,3.6291e-05,0,2.70006,-1,0.00361675,15,-999,-999,2.3695,-1,-0.0732021,15,-999,-999,128595000,1912.64,1.00835e-17,0,-79.5614,NA,NA,NA,2014.15,NA,NA,NA,NA,NA,-22.0243,0,0.074458,0.00148916,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",0.0176212,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.534246306914905,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,148811000,11800.2,1.0984e-06,0,-252.573,NA,NA,0.0783099,214.297,11784.4,NA,NA,NA,NA,53.7653,0,0,0,0,0,1559210000,171435000,4378030000,0.565048663439949,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.715,0.65,0.4,0,0,0,0,0,-0.0158961,0,2.69136,-1,-0.000267917,15,-999,-999,2.438,-1,0.0478544,15,-999,-999,148811000,1963.74,8.69244e-18,0,-84.811,NA,NA,NA,2073.72,NA,NA,NA,NA,NA,-25.2445,0,0.0725293,0.00145059,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",2,"F0","D0","E0","R0","X0","cow",0.00367199,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.449286366876254,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,126631000,11800.8,1.17762e-06,0,-252.573,NA,NA,0.0782743,212.038,11785.2,NA,NA,NA,NA,55.8427,0,0,0,0,0,1557110000,170909000,4405330000,0.50217804341559,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7145,0.65,0.4,0,0,0,0,0,-0.0284278,0,2.7204,-1,0.0649769,15,-999,-999,2.39803,-1,-0.00100823,15,-999,-999,126631000,1960.28,5.48069e-18,0,-84.0289,NA,NA,NA,2064.26,NA,NA,NA,NA,NA,-20.0272,0,0.0726118,0.00145224,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",3,"F0","D0","E0","R0","X0","cow",0.00293509,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.459456281857528,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,131157000,11795.4,1.10128e-06,0,-252.573,NA,NA,0.0782843,211.146,11784.4,NA,NA,NA,NA,52.1152,0,0,0,0,0,1586570000,177586000,4466490000,0.571424093639525,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7404,0.65,0.4,0,0,0,0,0,-0.100842,0,2.71552,-1,-0.00627249,15,-999,-999,2.4128,-1,0.036918,15,-999,-999,131157000,1976.82,4.18434e-18,0,-81.5023,NA,NA,NA,2083.02,NA,NA,NA,NA,NA,-24.7729,0,0.0727218,0.00145444,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",4,"F0","D0","E0","R0","X0","cow",0.13577,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.58710194164056,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,165782000,11798.6,1.38178e-06,0,-252.573,NA,NA,0.078323,213.659,11785,NA,NA,NA,NA,52.2571,0,0,0,0,0,1536990000,170649000,4248220000,0.595303444736854,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6929,0.65,0.4,0,0,0,0,0,0.00743336,0,2.71166,-1,0.0338392,15,-999,-999,2.44817,-1,0.102734,15,-999,-999,165782000,1945.06,1.28358e-17,0,-97.025,NA,NA,NA,2068.06,NA,NA,NA,NA,NA,-26.0483,0,0.0713672,0.00142734,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",5,"F0","D0","E0","R0","X0","cow",0.165927,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.511038227809035,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,144295000,11787,1.03629e-06,0,-252.573,NA,NA,0.0783003,211.614,11784.6,NA,NA,NA,NA,42.958,0,0,0,0,0,1565150000,173066000,4384050000,0.480161038309326,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7173,0.65,0.4,0,0,0,0,0,0.023217,0,2.68411,-1,-0.0303597,15,-999,-999,2.3692,-1,-0.0432102,15,-999,-999,144295000,1887.93,1.73469e-17,0,-87.03,NA,NA,NA,2004.8,NA,NA,NA,NA,NA,-29.9126,0,0.0747137,0.00149427,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",6,"F0","D0","E0","R0","X0","cow",0.0103221,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.643161393513495,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,180168000,11807.8,1.07274e-06,0,-252.573,NA,NA,0.0783448,217.062,11784.8,NA,NA,NA,NA,58.162,0,0,0,0,0,1503830000,166308000,4197700000,0.658915596636253,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6866,0.65,0.4,0,0,0,0,0,-0.0144246,0,2.65308,-1,-0.0678779,15,-999,-999,2.53412,-1,0.184654,15,-999,-999,180168000,1931.45,5.92624e-18,0,-84.333,NA,NA,NA,2035.3,NA,NA,NA,NA,NA,-19.5826,0,0.0711257,0.00142251,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",7,"F0","D0","E0","R0","X0","cow",0.00127495,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.58423124309575,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,164501000,11793.7,9.17417e-07,0,-252.573,NA,NA,0.0783288,214.759,11784.6,NA,NA,NA,NA,46.5654,0,0,0,0,0,1570080000,170825000,4407010000,0.584108046044824,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.719,0.65,0.4,0,0,0,0,0,-0.0286149,0,2.67094,-1,-0.0153293,15,-999,-999,2.40175,-1,-0.0279061,15,-999,-999,164501000,1865.66,5.22832e-18,0,-94.2448,NA,NA,NA,1985.58,NA,NA,NA,NA,NA,-25.7528,0,0.0741301,0.0014826,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",8,"F0","D0","E0","R0","X0","cow",0.00364157,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.514731925254064,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,146300000,11794.7,1.01558e-06,0,-252.573,NA,NA,0.0783089,212.697,11784.9,NA,NA,NA,NA,49.3887,0,0,0,0,0,1482580000,163442000,4214790000,0.569224089456414,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6743,0.65,0.4,0,0,0,0,0,0.0348452,0,2.74657,-1,0.074622,15,-999,-999,2.37708,-1,-0.0293356,15,-999,-999,146300000,1811.28,1.48333e-17,0,-76.6604,NA,NA,NA,1912.04,NA,NA,NA,NA,NA,-24.1756,0,0.0727439,0.00145488,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",9,"F0","D0","E0","R0","X0","cow",0.0345127,"#V3.24O",NA,FALSE
1.408e+09,170594000,4082630000,0.534481449457825,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,153779000,11797.6,1.42958e-06,0,-252.573,NA,NA,0.0783095,211.587,11784,NA,NA,NA,NA,54.2586,0,0,0,0,0,1501330000,165552000,4224720000,0.677147834649397,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6775,0.65,0.4,0,0,0,0,0,-0.0881149,0,2.69163,-1,0.0213618,15,-999,-999,2.34405,-1,-0.100711,15,-999,-999,153779000,1932.91,2.7415e-18,0,-89.806,NA,NA,NA,2053.19,NA,NA,NA,NA,NA,-30.5559,0,0.0750739,0.00150148,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",10,"F0","D0","E0","R0","X0","cow",0.0169318,"#V3.24O",NA,FALSE
