"SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","F","D","E","R","X","species","year"
4082630000,155131000,0,4302390000,159535000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",1
4082630000,174064000,0,4297650000,179441000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",2
4089150000,105100000,0,4331760000,106565000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",3
4118930000,28646800,0,4351940000,31340100,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",4
4158430000,141115000,0,4433060000,140379000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",5
4145750000,53686300,0,4396360000,52965100,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",6
4077780000,73187300,0,4311390000,72747400,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",7
3998200000,110778000,0,4208170000,112565000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",8
3870550000,140686000,0,4068970000,141756000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",9
3733960000,169027000,0,3918270000,176068000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",10
3624540000,83291500,0,3823580000,85551600,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",11
3569640000,52933700,0,3792080000,55272600,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",12
3556540000,95889300,0,3805370000,98956800,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",13
3523240000,94659700,0,3761250000,98178000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",14
3464930000,39072200,0,3697940000,40961900,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",15
3403480000,71623700,0,3637420000,75682800,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",16
3323460000,76422800,0,3545880000,80182000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",17
3211870000,102151000,0,3427160000,102939000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",18
3097110000,113289000,0,3305960000,116048000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",19
2993450000,94401600,0,3212420000,101865000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",20
2922400000,170619000,0,3167620000,180454000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",21
2883320000,163677000,0,3123100000,169991000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",22
2883900000,158962000,0,3164360000,160402000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",23
2955340000,200769000,0,3280120000,206173000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",24
3076420000,156610000,0,3442240000,170691000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",25
3243080000,73138100,0.07,3650680000,74360200,0.0699574,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",26
3223290000,139306000,0.07,3645610000,137147000,0.0697568,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",27
3177530000,170790000,0.07,3576380000,180124000,0.0695459,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",28
3085770000,123981000,0.07,3454940000,132430000,0.0696955,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",29
3005080000,108754000,0.07,3369070000,110785000,0.0695857,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",30
2938380000,83238800,0.07,3296330000,86172700,0.0694179,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",31
2859510000,189895000,0.07,3204320000,191203000,0.0694846,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",32
2761490000,137126000,0.07,3089690000,140431000,0.0695056,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",33
