"SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","F","D","E","R","X","species","year"
4082630000,155131000,0,4216800000,164347000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",1
4082630000,174064000,0,4212190000,178464000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",2
4089150000,105100000,0,4249660000,106880000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",3
4118930000,28646800,0,4278570000,31635700,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",4
4158430000,141115000,0,4366860000,140545000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",5
4145750000,53686300,0,4338730000,52950700,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",6
4077780000,73187300,0,4262270000,74410200,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",7
3998200000,110778000,0,4166970000,112488000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",8
3870550000,140686000,0,4035160000,141687000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",9
3733960000,169027000,0,3892180000,175990000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",10
3624540000,83291500,0,3803500000,85515300,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",11
3569640000,52933700,0,3776700000,55249400,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",12
3556540000,95889300,0,3793570000,98921600,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",13
3523240000,94659700,0,3752120000,98147100,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",14
3464930000,39072200,0,3690980000,40949000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",15
3403480000,71623700,0,3632010000,75665200,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",16
3323460000,76422800,0,3541630000,80167700,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",17
3211870000,102151000,0,3423560000,102928000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",18
3097110000,113289000,0,3303120000,116045000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",19
2993450000,94401600,0,3210190000,101868000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",20
2922400000,170619000,0,3165680000,180474000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",21
2883320000,163677000,0,3121570000,170016000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",22
2883900000,158962000,0,3162990000,160430000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",23
2955340000,200769000,0,3279080000,206255000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",24
3076420000,156610000,0,3441410000,170756000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",25
3243080000,73138100,0.07,3650120000,74383800,0.0700122,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",26
3223290000,139306000,0.07,3645090000,137185000,0.0697583,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",27
3177530000,170790000,0.07,3576040000,180159000,0.0695661,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",28
3085770000,123981000,0.07,3454690000,132448000,0.0698262,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",29
3005080000,108754000,0.07,3368460000,110790000,0.0695777,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",30
2938380000,83238800,0.07,3295820000,86164700,0.0694714,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",31
2859510000,189895000,0.07,3203700000,191160000,0.0695447,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",32
2761490000,137126000,0.07,3088930000,140386000,0.0696767,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",33
2668870000,73213700,0.07,2993450000,79366100,0.0693776,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",34
2626160000,75406200,0.07,2967990000,74859600,0.0696507,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",35
2576610000,124878000,0.07,2878530000,130088000,0.0696897,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",36
2492940000,66676100,0.07,2779450000,70284300,0.0696558,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",37
2400080000,110057000,0.07,2665900000,113967000,0.0698826,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",38
2312220000,102277000,0.07,2570880000,109534000,0.0699394,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",39
2214520000,85441600,0.07,2458360000,90984400,0.0699103,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",40
2137240000,55200500,0.07,2379630000,60075200,0.0697135,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",41
2.069e+09,70811700,0.07,2317280000,73690700,0.0695867,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",42
1.994e+09,128822000,0.07,2231930000,134624000,0.0693443,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",43
1904860000,117980000,0.07,2127790000,121235000,0.0692764,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",44
1832880000,113072000,0.07,2066660000,118085000,0.0688264,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",45
1804260000,70667300,0.07,2059030000,78087400,0.0688312,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",46
1802920000,189712000,0.07,2074310000,204777000,0.0688424,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",47
1808080000,106123000,0.07,2074040000,108783000,0.0686858,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",48
1826670000,124961000,0.07,2120050000,128998000,0.0684812,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",49
1891840000,87896700,0.07,2214380000,93486300,0.0682648,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",50
1947400000,206460000,0.07,2280980000,219009000,0.0682656,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",51
1994150000,114238000,0.07,2326160000,122885000,0.0681067,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",52
2042540000,66055800,0.07,2398220000,71349500,0.068145,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",53
2126570000,57567600,0.07,2499800000,58166400,0.0680745,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",54
2170110000,121058000,0.07,2543180000,127251000,0.0677422,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",55
2155790000,97452700,0.07,2505600000,102681000,0.0675097,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",56
2109710000,81257200,0.07,2441050000,82663300,0.0676101,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",57
2069070000,56393500,0.07,2389950000,62527700,0.0674057,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",58
2020150000,186471000,0.07,2333680000,199153000,0.067262,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",59
1955780000,68092900,0.07,2250770000,70219700,0.0675192,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",60
1907010000,217650000,0.07,2213110000,230257000,0.0673291,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",61
1907870000,106774000,0.07,2233940000,110462000,0.0673936,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",62
1924930000,52557400,0.07,2267130000,57252300,0.0671814,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",63
2003730000,147905000,0.07,2376110000,154071000,0.0671906,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",64
2045900000,113408000,0.07,2411500000,118869000,0.0672047,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",65
2057410000,149797000,0.07,2421480000,160102000,0.0675538,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",66
2081820000,170457000,0.07,2443620000,178285000,0.0673681,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",67
2105430000,79477500,0.07,2481300000,80428300,0.0675979,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",68
2156300000,100221000,0.07,2545760000,111445000,0.0674553,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",69
2210480000,66200500,0.07,2608770000,70605900,0.0674998,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",70
2222400000,111246000,0.07,2604510000,120193000,0.0675274,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",71
2202980000,97909300,0.07,2566420000,100561000,0.0676304,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",72
2153240000,139310000,0.07,2502320000,152577000,0.0672473,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",73
2105310000,139052000,0.07,2445440000,150014000,0.0671634,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",74
2067350000,127549000,0.07,2414230000,137655000,0.0669815,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",75
2063690000,221240000,0.07,2427780000,241445000,0.0668456,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",76
2082890000,86843800,0.07,2477620000,94595400,0.0665642,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",77
2138920000,63334600,0.07,2575870000,70017800,0.0662946,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",78
2229990000,59775700,0.07,2691740000,66031100,0.0660894,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",79
2262330000,137233000,0.07,2721150000,151045000,0.0659106,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",80
2235330000,53898500,0.07,2668200000,59436200,0.0657575,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",81
2180840000,174226000,0.07,2600800000,193677000,0.0652615,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",82
2126980000,126039000,0.07,2548430000,144006000,0.0650266,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",83
2069490000,78063100,0.07,2496710000,83303600,0.0648036,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",84
2066960000,55745300,0.07,2535880000,63428600,0.0645754,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",85
2065660000,89812000,0.07,2532650000,104690000,0.0640522,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",86
2035420000,88335400,0.07,2500250000,102204000,0.0636962,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",87
1979750000,70569100,0.07,2429380000,80668500,0.0632888,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",88
1923080000,115874000,0.07,2378510000,138286000,0.0628497,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",89
1862800000,193153000,0.07,2321860000,231344000,0.0622917,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",90
1808430000,102175000,0.07,2289260000,122230000,0.0619468,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",91
1807990000,80275200,0.07,2337100000,99012800,0.0612319,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",92
1863110000,99910800,0.07,2447890000,122288000,0.0605263,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",93
1902760000,62623700,0.07,2527200000,76115400,0.0597705,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",94
