"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","F","D","E","R","X","species","year","ID"
"1",4082630000,155131000,0,4015640000,146139000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",1,"F0-D0-E0-R0-X0-cow-1"
"2",4082630000,174064000,0,4014760000,171163000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",2,"F0-D0-E0-R0-X0-cow-1"
"3",4089150000,105100000,0,4020740000,102990000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",3,"F0-D0-E0-R0-X0-cow-1"
"4",4118930000,28646800,0,4077490000,29931500,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",4,"F0-D0-E0-R0-X0-cow-1"
"5",4158430000,141115000,0,4125800000,133294000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",5,"F0-D0-E0-R0-X0-cow-1"
"6",4145750000,53686300,0,4104910000,53066100,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",6,"F0-D0-E0-R0-X0-cow-1"
"7",4077780000,73187300,0,4022490000,71851800,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",7,"F0-D0-E0-R0-X0-cow-1"
"8",3998200000,110778000,0,3945360000,108973000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",8,"F0-D0-E0-R0-X0-cow-1"
"9",3870550000,140686000,0,3826640000,143692000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",9,"F0-D0-E0-R0-X0-cow-1"
"10",3733960000,169027000,0,3697430000,165762000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",10,"F0-D0-E0-R0-X0-cow-1"
"11",3624540000,83291500,0,3599660000,83359900,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",11,"F0-D0-E0-R0-X0-cow-1"
"12",3569640000,52933700,0,3609330000,55221800,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",12,"F0-D0-E0-R0-X0-cow-1"
"13",3556540000,95889300,0,3623040000,94704900,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",13,"F0-D0-E0-R0-X0-cow-1"
"14",3523240000,94659700,0,3609830000,91965100,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",14,"F0-D0-E0-R0-X0-cow-1"
"15",3464930000,39072200,0,3537590000,42005500,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",15,"F0-D0-E0-R0-X0-cow-1"
"16",3403480000,71623700,0,3493840000,76443700,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",16,"F0-D0-E0-R0-X0-cow-1"
"17",3323460000,76422800,0,3413200000,81308300,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",17,"F0-D0-E0-R0-X0-cow-1"
"18",3211870000,102151000,0,3301320000,104767000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",18,"F0-D0-E0-R0-X0-cow-1"
"19",3097110000,113289000,0,3182650000,111660000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",19,"F0-D0-E0-R0-X0-cow-1"
"20",2993450000,94401600,0,3108860000,94237000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",20,"F0-D0-E0-R0-X0-cow-1"
"21",2922400000,170619000,0,3052960000,181250000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",21,"F0-D0-E0-R0-X0-cow-1"
"22",2883320000,163677000,0,3027630000,164898000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",22,"F0-D0-E0-R0-X0-cow-1"
"23",2883900000,158962000,0,3081420000,156240000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",23,"F0-D0-E0-R0-X0-cow-1"
"24",2955340000,200769000,0,3205270000,210561000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",24,"F0-D0-E0-R0-X0-cow-1"
"25",3076420000,156610000,0,3364840000,157173000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",25,"F0-D0-E0-R0-X0-cow-1"
"26",3243080000,73138100,0.07,3572650000,76231300,0.0718326,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",26,"F0-D0-E0-R0-X0-cow-1"
"27",3223290000,139306000,0.07,3561490000,146141000,0.0715804,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",27,"F0-D0-E0-R0-X0-cow-1"
"28",3177530000,170790000,0.07,3487620000,170238000,0.0714369,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",28,"F0-D0-E0-R0-X0-cow-1"
"29",3085770000,123981000,0.07,3391010000,130798000,0.0715649,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",29,"F0-D0-E0-R0-X0-cow-1"
"30",3005080000,108754000,0.07,3297490000,113751000,0.0713394,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",30,"F0-D0-E0-R0-X0-cow-1"
"31",2938380000,83238800,0.07,3229920000,85424100,0.0714139,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",31,"F0-D0-E0-R0-X0-cow-1"
"32",2859510000,189895000,0.07,3127570000,193815000,0.0713727,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",32,"F0-D0-E0-R0-X0-cow-1"
"33",2761490000,137126000,0.07,3019720000,135316000,0.0710343,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",33,"F0-D0-E0-R0-X0-cow-1"
"34",2668870000,73213700,0.07,2936140000,81120100,0.0712849,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",34,"F0-D0-E0-R0-X0-cow-1"
"35",2626160000,75406200,0.07,2894310000,78951900,0.0710716,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",35,"F0-D0-E0-R0-X0-cow-1"
"36",2576610000,124878000,0.07,2829530000,131102000,0.0711911,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",36,"F0-D0-E0-R0-X0-cow-1"
"37",2492940000,66676100,0.07,2739710000,64474200,0.0712931,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",37,"F0-D0-E0-R0-X0-cow-1"
"38",2400080000,110057000,0.07,2638280000,113947000,0.0709308,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",38,"F0-D0-E0-R0-X0-cow-1"
"39",2312220000,102277000,0.07,2541330000,99871100,0.0708266,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",39,"F0-D0-E0-R0-X0-cow-1"
"40",2214520000,85441600,0.07,2429670000,85405800,0.0707988,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",40,"F0-D0-E0-R0-X0-cow-1"
"41",2137240000,55200500,0.07,2360830000,57904100,0.0706524,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",41,"F0-D0-E0-R0-X0-cow-1"
"42",2.069e+09,70811700,0.07,2277540000,75464700,0.0712715,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",42,"F0-D0-E0-R0-X0-cow-1"
"43",1.994e+09,128822000,0.07,2188830000,138141000,0.0711277,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",43,"F0-D0-E0-R0-X0-cow-1"
"44",1904860000,117980000,0.07,2074400000,119599000,0.0713618,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",44,"F0-D0-E0-R0-X0-cow-1"
"45",1832880000,113072000,0.07,2008610000,1.23e+08,0.0714467,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",45,"F0-D0-E0-R0-X0-cow-1"
