"SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","F","D","E","R","X","species","year"
4082630000,155131000,0,5450590000,131192000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",1
4082630000,174064000,0,5450590000,130786000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",2
4089150000,105100000,0,5450370000,130377000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",3
4118930000,28646800,0,5449430000,129962000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",4
4158430000,141115000,0,5447550000,129540000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",5
4145750000,53686300,0,5444530000,129110000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",6
4077780000,73187300,0,5440080000,128670000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",7
3998200000,110778000,0,5434390000,128221000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",8
3870550000,140686000,0,5427480000,127760000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",9
3733960000,169027000,0,5419360000,127288000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",10
3624540000,83291500,0,5410110000,126804000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",11
3569640000,52933700,0,5399390000,126304000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",12
3556540000,95889300,0,5387400000,125789000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",13
3523240000,94659700,0,5374270000,125256000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",14
3464930000,39072200,0,5360110000,124678000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",15
3403480000,71623700,0,5344990000,124072000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",16
3323460000,76422800,0,5328960000,123432000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",17
3211870000,102151000,0,5312030000,122837000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",18
3097110000,113289000,0,5294210000,122213000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",19
2993450000,94401600,0,5275510000,121606000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",20
2922400000,170619000,0,5.256e+09,120959000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",21
2883320000,163677000,0,5235730000,120336000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",22
2883900000,158962000,0,5214750000,119690000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",23
2955340000,200769000,0,5193140000,119114000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",24
3076420000,156610000,0,5170910000,118470000,0,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",25
3243080000,73138100,0.07,5148130000,117821000,0.0647141,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",26
3223290000,139306000,0.07,4812380000,116434000,0.0691009,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",27
3177530000,170790000,0.07,4492350000,114761000,0.0726835,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",28
3085770000,123981000,0.07,4196220000,113224000,0.0750658,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",29
3005080000,108754000,0.07,3930770000,111230000,0.0779244,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",30
2938380000,83238800,0.07,3692890000,108992000,0.0809601,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",31
2859510000,189895000,0.07,3478460000,113779000,0.0831689,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",32
2761490000,137126000,0.07,3286870000,121605000,0.0842672,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",33
2668870000,73213700,0.07,3121840000,101797000,0.0852877,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",34
2626160000,75406200,0.07,2990560000,100477000,0.0874217,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",35
2576610000,124878000,0.07,2879850000,99721600,0.0883735,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",36
2492940000,66676100,0.07,2771600000,91758000,0.0875101,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",37
2400080000,110057000,0.07,2679150000,130991000,0.0862688,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",38
2312220000,102277000,0.07,2596310000,95828300,0.0861041,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",39
2214520000,85441600,0.07,2525890000,90311500,0.083771,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",40
2137240000,55200500,0.07,2499110000,163016000,0.0818302,"F0-D1-E0-R0-X1-cow",1,"F0","D1","E0","R0","X1","cow",41
