"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","F","D","E","R","X","species","year","ID"
"1",4082630000,155131000,0,4248510000,153178000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",1,"F0-D0-E0-R0-X0-cow-1"
"2",4082630000,174064000,0,4199550000,172336000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",2,"F0-D0-E0-R0-X0-cow-1"
"3",4089150000,105100000,0,4424210000,102390000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",3,"F0-D0-E0-R0-X0-cow-1"
"4",4118930000,28646800,0,4133410000,30141900,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",4,"F0-D0-E0-R0-X0-cow-1"
"5",4158430000,141115000,0,4475620000,134937000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",5,"F0-D0-E0-R0-X0-cow-1"
"6",4145750000,53686300,0,4413730000,50945800,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",6,"F0-D0-E0-R0-X0-cow-1"
"7",4077780000,73187300,0,4296610000,69981900,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",7,"F0-D0-E0-R0-X0-cow-1"
"8",3998200000,110778000,0,4097090000,108303000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",8,"F0-D0-E0-R0-X0-cow-1"
"9",3870550000,140686000,0,4052680000,136426000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",9,"F0-D0-E0-R0-X0-cow-1"
"10",3733960000,169027000,0,3861960000,169483000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",10,"F0-D0-E0-R0-X0-cow-1"
"11",3624540000,83291500,0,3771040000,82384700,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",11,"F0-D0-E0-R0-X0-cow-1"
"12",3569640000,52933700,0,3702510000,53246500,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",12,"F0-D0-E0-R0-X0-cow-1"
"13",3556540000,95889300,0,3777630000,95334500,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",13,"F0-D0-E0-R0-X0-cow-1"
"14",3523240000,94659700,0,3667330000,94607100,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",14,"F0-D0-E0-R0-X0-cow-1"
"15",3464930000,39072200,0,3660610000,39496300,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",15,"F0-D0-E0-R0-X0-cow-1"
"16",3403480000,71623700,0,3597640000,72977100,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",16,"F0-D0-E0-R0-X0-cow-1"
"17",3323460000,76422800,0,3511960000,77337900,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",17,"F0-D0-E0-R0-X0-cow-1"
